asset_id,case_id,file_name,source_path,title
001,case_001,001.webp,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/001.webp,Два продукта за мокрым стеклом
002,case_002,002.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/002.jpg,Флакон в металлическом подносе сверху
003,case_003,003.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/003.jpg,Три тюбика с продуктовой каплей
004,case_004,004.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/004.jpg,Помпа на подносе с мыльной ракушкой и перцем
005,case_005,005.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/005.jpg,Флакон на плиточной полке с губкой и щеткой
006,case_006,006.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/006.jpg,Тюбик с цветочной веткой
007,case_007,007.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/007.jpg,Тюбик и коробка на красном сет-дизайне
008,case_008,008.webp,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/008.webp,Повторяющиеся жёлтые тюбики
009,case_009,009.jpeg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/009.jpeg,Шампунь и бальзам в воде
010,case_010,010.jpeg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/ARCHITECT/2026-05-07_reference-index-architecture/batch-panel-v1.assets/010.jpeg,Банка под льющейся водой
011,newobj_001,00e18a8be0953687a8379b156263b50a.webp,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/00e18a8be0953687a8379b156263b50a.webp,Черный тюбик в руках на фоне неба
012,newobj_002,01b35ffff4278a0c0a2638ee6a444169.webp,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/01b35ffff4278a0c0a2638ee6a444169.webp,Голубой флакон в воде со льдом
013,newobj_003,0bbec58947ce51f071ef23e450854ac5.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/0bbec58947ce51f071ef23e450854ac5.jpg,Белая бутылка за водной линией
014,newobj_004,0c1af6c93a7e549767191055fcb07e6a.jpg,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/0c1af6c93a7e549767191055fcb07e6a.jpg,Открытая баночка с косметическим шпателем
015,newobj_005,0ce560857660dfae3d3c3ca3afdf72b3.webp,/Users/alittlepinkie/Documents/Obsidian Vault/work/Project Folders (codex)/Библиотека референсов/рефы/Новая папка с объектами/0ce560857660dfae3d3c3ca3afdf72b3.webp,Металлическая баночка с роллером и щипцами
